packageName	permission	purpose	permissionText	purposeText	rate	level
com.icloudzone.SpeedNight2	READ_CONTACTS	SOCIAL_GAMING	can read user's contact list (phone book) and phone call history	to find out if users' friends are on the same game platform	-0.35	A
com.jb.gokeyboard	GET_ACCOUNTS	SECONDARY_MARKET	can use user's accounts information stored on the phone	to connect with independent/secondary mobile app stores	-0.631578947368421	C
com.jrummy.liberty.toolbox	READ_CONTACTS	SNS	can read user's contact list (phone book) and phone call history	to connect to users' friends through integrated social platforms	-0.25	A
com.kangaroo.logic	ACCESS_FINE_LOCATION	SOCIAL_GAMING	can use user's precise location	for the internal GAME engine	-0.2	A
com.kaosu.i.battery.ppochi	BLUETOOTH	TARGETED_ADS	can connect to user's Bluetooth devices	for advertisement purpose	-0.8888888888888888	D
com.leftover.CoinDozer	READ_PHONE_STATE	GAME_ENGINE	can read phone current state information like oncall or not, signal, carrier, device ID and phone number	to identify users for delivering targeted advertisement in game	-0.55	B
com.letang.game103pp.cn	SEND_SMS	SNS	can send out SMS messages	for in-app purchase through premium SMS on social game platform	-0.65	C
com.loloworks.llzbs	RECORD_AUDIO	SOCIAL_GAMING	can record audio through microphone on the phone	to support sending audio messages to friends in social game platform	0.7	N/A
com.loloworks.llzbs	CAMERA	SOCIAL_GAMING	can use camera or flashlight on the phone	for unclear purpose in an integrated social game platform	-0.15	A
com.loloworks.llzbs	ACCESS_FINE_LOCATION	SOCIAL_GAMING	can use user's precise location	for the internal GAME engine	-0.3	A
com.lookout	MANAGE_ACCOUNTS	INTERNAL	can manage user's accounts on the phone	to login Antivirus & Security | Lookout	1.0	N/A
com.mapbar.android.mapbarmap	MANAGE_ACCOUNTS	SNS	can manage user's accounts on the phone	to login social network sites like Facebook	-0.5	B
com.mediafire.android	CAMERA	DEVELOPMENT_AID	can use camera or flashlight on the phone	to enable to take and upload photos directly in this app	1.2222222222222223	N/A
com.meecel.feedreader.RssDemonAd	GET_ACCOUNTS	DEVELOPMENT_AID	can use user's accounts information stored on the phone	to import feeds from users' Google account	0.8666666666666667	N/A
com.miniclip.eightballpool	READ_PHONE_STATE	SECONDARY_MARKET	can read phone current state information like oncall or not, signal, carrier, device ID and phone number	to identify users in order to connect with independent/secondary mobile app stores	-0.95	D
com.miniclip.eightballpool	GET_ACCOUNTS	SECONDARY_MARKET	can use user's accounts information stored on the phone	to connect with independent/secondary mobile app stores	-0.7	C
com.moaibot.sweetyheaven	RECORD_AUDIO	GAME_ENGINE	can record audio through microphone on the phone	to enable audio recording in game (though may not be used in Game)	-0.15	A
com.myfknoll.draw.together	BLUETOOTH	SOCIAL_GAMING	can connect to user's Bluetooth devices	to enable features like connecting with other players or share game content through Bluetooth	1.2857142857142858	N/A
com.mythlj.snakesally	BLUETOOTH	GAME_ENGINE	can connect to user's Bluetooth devices	to enable features like connecting with other players or share game content through Bluetooth	1.15	N/A
com.netqin.ps	READ_PHONE_STATE	PAYMENT	can read phone current state information like oncall or not, signal, carrier, device ID and phone number	to identify users in payment transaction	-0.2777777777777778	A
com.netqin.ps	SEND_SMS	PAYMENT	can send out SMS messages	for in-app purchase	-0.2222222222222222	A
com.nimbuzz	MANAGE_ACCOUNTS	INTERNAL	can manage user's accounts on the phone	to login Nimbuzz account	0.7	N/A
com.nqmobile.antivirus20	SEND_SMS	PAYMENT	can send out SMS messages	for in-app purchase	-0.5	B
com.nqmobile.antivirus20	READ_PHONE_STATE	PAYMENT	can read phone current state information like oncall or not, signal, carrier, device ID and phone number	to identify users in payment transaction	-0.45	B
com.nqmobile.antivirus20.multilang	SEND_SMS	PAYMENT	can send out SMS messages	for in-app purchase	-0.35	A
com.nubee.japanlife	MANAGE_ACCOUNTS	SNS	can manage user's accounts on the phone	to login social network sites like Facebook	0.3333333333333333	N/A
