	index	learning_rate	loss	max_depth	max_features	n_estimators	subsample	testSize
300	0	0.1	quantile	5	sqrt	100	0.1	10
301	0	1.0	ls	10	sqrt	100	0.1	3
302	0	1.0	ls	1	sqrt	500	1.0	3
303	0	0.5	huber	1	sqrt	100	1.0	5
304	0	0.1	lad	10	sqrt	500	0.1	7
305	0	0.1	lad	3	log2	200	0.1	7
306	0	0.1	quantile	5	log2	200	1.0	13
307	0	1.0	huber	1	log2	100	1.0	3
308	0	1.0	quantile	5	log2	50	0.1	5
309	0	0.1	lad	3	auto	100	0.1	10
310	0	0.5	quantile	5	auto	200	0.5	3
311	0	0.1	huber	10	log2	100	0.5	7
312	0	0.5	lad	10	auto	50	1.0	7
313	0	0.5	huber	3	log2	50	0.1	3
314	0	0.1	lad	5	log2	500	1.0	12
315	0	0.5	huber	1	log2	200	1.0	4
316	0	0.5	quantile	1	sqrt	100	0.5	4
317	0	0.1	quantile	3	log2	100	0.1	9
318	0	0.1	lad	3	auto	200	0.5	12
319	0	0.5	ls	5	log2	200	1.0	3
320	0	0.1	lad	10	sqrt	100	0.1	8
321	0	0.1	lad	3	sqrt	100	0.1	7
322	0	0.1	lad	10	auto	100	0.5	3
323	0	0.5	quantile	3	auto	200	1.0	5
324	0	0.5	ls	3	sqrt	50	0.5	9
325	0	0.1	lad	3	log2	200	0.5	3
326	0	0.1	quantile	3	log2	200	0.5	13
327	0	0.5	quantile	5	sqrt	200	0.1	3
328	0	0.1	quantile	10	log2	500	0.1	7
329	0	1.0	quantile	10	log2	500	1.0	7
330	0	0.5	quantile	5	auto	50	1.0	5
331	0	0.1	lad	3	log2	200	0.1	9
332	0	0.1	lad	5	auto	500	0.1	3
333	0	0.5	lad	10	auto	200	0.5	3
334	0	0.1	ls	5	auto	200	0.1	7
335	0	0.1	lad	3	auto	200	0.5	13
336	0	1.0	lad	10	auto	100	1.0	7
337	0	0.1	ls	3	sqrt	50	0.5	5
338	0	0.5	quantile	1	auto	200	0.5	10
339	0	0.1	lad	5	sqrt	100	0.5	3
340	0	0.1	lad	5	log2	500	1.0	3
341	0	0.1	huber	10	sqrt	100	0.5	13
342	0	0.5	ls	5	log2	200	1.0	5
343	0	0.1	quantile	1	log2	500	1.0	7
344	0	0.5	lad	10	log2	500	0.5	7
345	0	1.0	ls	1	sqrt	50	1.0	3
346	0	0.1	quantile	3	log2	50	0.1	10
347	0	0.5	ls	3	sqrt	200	0.1	4
348	0	0.1	ls	1	sqrt	200	0.5	4
349	0	0.1	huber	1	sqrt	50	0.5	12
350	0	0.1	lad	3	auto	100	0.1	7
351	0	0.1	huber	1	auto	200	0.5	7
352	0	0.5	huber	1	sqrt	50	1.0	3
353	0	0.5	ls	1	auto	200	1.0	5
354	0	0.5	huber	10	sqrt	500	0.1	3
