permission	purpose	packageName	count
ACCESS_FINE_LOCATION	INTERNAL	com.picsart.studio	20
ACCESS_FINE_LOCATION	INTERNAL	com.sgiggle.production	20
ACCESS_FINE_LOCATION	INTERNAL	com.twitter.android	20
ACCESS_FINE_LOCATION	INTERNAL	com.viber.voip	20
ACCESS_FINE_LOCATION	INTERNAL	com.whatsapp	20
ACCESS_FINE_LOCATION	INTERNAL	jp.naver.line.android	20
ACCESS_FINE_LOCATION	INTERNAL	org.mozilla.firefox	20
ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	com.badoo.mobile	20
ACCESS_FINE_LOCATION	INTERNAL	com.android.chrome	20
ACCESS_FINE_LOCATION	INTERNAL	com.UCMobile.intl	20
ACCESS_FINE_LOCATION	DEVELOPMENT_AID	jp.naver.linetools	20
ACCESS_FINE_LOCATION	DEVELOPMENT_AID	com.unityconceptapps.tcr.kiat	20
ACCESS_COARSE_LOCATION	INTERNAL	com.antivirus	20
ACCESS_COARSE_LOCATION	INTERNAL	com.badoo.mobile	20
ACCESS_COARSE_LOCATION	INTERNAL	com.tencent.mm	20
ACCESS_COARSE_LOCATION	INTERNAL	jp.naver.line.android	20
ACCESS_COARSE_LOCATION	PAYMENT	com.ubercab	20
ACCESS_COARSE_LOCATION	SNS	com.UCMobile.intl	20
ACCESS_COARSE_LOCATION	SOCIAL_GAMING	com.electricsheep.edj	20
ACCESS_COARSE_LOCATION	SOCIAL_GAMING	com.rastergrid.game.pocketsoccer	20
ACCESS_COARSE_LOCATION	TARGETED_ADS	com.halfbrick.fruitninjafree	20
ACCESS_COARSE_LOCATION	TARGETED_ADS	com.halfbrick.jetpackjoyride	20
ACCESS_COARSE_LOCATION	TARGETED_ADS	com.kakao.talk	20
ACCESS_COARSE_LOCATION	TARGETED_ADS	com.nordcurrent.Games101	20
ACCESS_COARSE_LOCATION	TARGETED_ADS	com.rovio.angrybirds	20
ACCESS_COARSE_LOCATION	TARGETED_ADS	com.rovio.angrybirdsrio	20
ACCESS_COARSE_LOCATION	TARGETED_ADS	com.rovio.angrybirdsseasons	20
ACCESS_COARSE_LOCATION	TARGETED_ADS	com.rovio.angrybirdsspace.ads	20
ACCESS_COARSE_LOCATION	UTILITY	com.handmark.tweetcaster	20
ACCESS_COARSE_LOCATION	UTILITY	com.twoo	20
ACCESS_FINE_LOCATION	DEVELOPMENT_AID	com.pnc.ecommerce.mobile	20
ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	com.easy.battery.saver	20
ACCESS_FINE_LOCATION	SECONDARY_MARKET	com.acmdvp.myconverter	20
CAMERA	GAME_ENGINE	com.redbull.RedBullAugmentedRacingReloaded	20
BLUETOOTH	INTERNAL	com.tencent.mm	20
BLUETOOTH	DEVELOPMENT_AID	com.hipipal.qpyplus	20
BLUETOOTH	GAME_ENGINE	com.aurum.google.aliceOfHeart	20
BLUETOOTH	GAME_ENGINE	com.mythlj.snakesally	20
BLUETOOTH	INTERNAL	com.antivirus	20
BLUETOOTH	INTERNAL	com.dianxinos.dxbs	20
BLUETOOTH	INTERNAL	com.easy.battery.saver	20
BLUETOOTH	INTERNAL	com.google.android.googlequicksearchbox	20
BLUETOOTH	INTERNAL	com.google.android.maps.mytracks	20
BLUETOOTH	INTERNAL	com.kakao.talk	20
BLUETOOTH	INTERNAL	com.viber.voip	20
ACCESS_FINE_LOCATION	SECONDARY_MARKET	com.xvalue.androtoolkit	20
BLUETOOTH	INTERNAL	me.pou.app	20
BLUETOOTH	MOBILE_ANALYTICS	com.fitbit.FitbitMobile	20
BLUETOOTH	MOBILE_ANALYTICS	com.speaktoit.assistant	20
BLUETOOTH	UTILITY	com.whaleshark.retailmenot	20
BLUETOOTH	UTILITY	com.yodawnla.isMonster2	20
CAMERA	DEVELOPMENT_AID	com.pnc.ecommerce.mobile	20
CAMERA	DEVELOPMENT_AID	com.unityconceptapps.tcr.kiat	20
CAMERA	DEVELOPMENT_AID	jp.naver.linetools	20
CAMERA	GAME_ENGINE	com.c4mprod.ezcodescanner	20
AUTHENTICATE_ACCOUNTS	SNS	com.seven.integral.Z7	20
AUTHENTICATE_ACCOUNTS	SNS	com.elijahsh.birthdayreminder	20
AUTHENTICATE_ACCOUNTS	INTERNAL	org.mozilla.firefox	20
AUTHENTICATE_ACCOUNTS	INTERNAL	com.yahoo.mobile.client.android.mail	20
ACCESS_FINE_LOCATION	SNS	com.UCMobile.intl	20
ACCESS_FINE_LOCATION	SOCIAL_GAMING	bubbleshooter.android	20
ACCESS_FINE_LOCATION	SOCIAL_GAMING	com.aidigame.xcity	20
ACCESS_FINE_LOCATION	SOCIAL_GAMING	com.cento.gates.main	20
ACCESS_FINE_LOCATION	SOCIAL_GAMING	com.kangaroo.logic	20
ACCESS_FINE_LOCATION	SOCIAL_GAMING	com.loloworks.llzbs	20
ACCESS_FINE_LOCATION	TARGETED_ADS	com.bestcoolfungames.antsmasher	20
