	permission	purpose	packageName	count
174	READ_PHONE_STATE	INTERNAL	com.tgb.kingkong	19
251	READ_PHONE_STATE	TARGETED_ADS	com.com2us.ovenbreak.normal.freefull.google.global.android.common	19
170	READ_PHONE_STATE	INTERNAL	com.sixwaves.strikefleetomega	19
196	READ_PHONE_STATE	INTERNAL	net.sjang.sail	19
275	READ_PHONE_STATE	TARGETED_ADS	com.gameinsight.kingdom	19
215	READ_PHONE_STATE	MOBILE_ANALYTICS	com.outfit7.tomlovesangelafree	19
222	READ_PHONE_STATE	MOBILE_ANALYTICS	com.tgb.kingkong	19
226	READ_PHONE_STATE	MOBILE_ANALYTICS	jiangyou4.wallpaper.japan4	19
285	READ_PHONE_STATE	TARGETED_ADS	com.ielfgame.ironRusher	19
220	READ_PHONE_STATE	MOBILE_ANALYTICS	com.sixwaves.strikefleetomega	19
218	READ_PHONE_STATE	MOBILE_ANALYTICS	com.rovio.angrybirds	19
117	READ_PHONE_STATE	INTERNAL	com.cipsoft.tibiame	19
217	READ_PHONE_STATE	MOBILE_ANALYTICS	com.rovio.amazingalex.trial	19
130	READ_PHONE_STATE	INTERNAL	com.droidhen.game.speedhiker	19
122	READ_PHONE_STATE	INTERNAL	com.com2us.inotia3.normal.freefull.google.global.android.common	19
214	READ_PHONE_STATE	MOBILE_ANALYTICS	com.menueph.entertainment.russianroulette	19
227	READ_PHONE_STATE	MOBILE_ANALYTICS	net.eclerstudios.thewhipsoundapp	19
123	READ_PHONE_STATE	INTERNAL	com.com2us.minigameparadise.normal.freefull.google.global.android.common	19
124	READ_PHONE_STATE	INTERNAL	com.com2us.ovenbreak.normal.freefull.google.global.android.common	19
126	READ_PHONE_STATE	INTERNAL	com.directv.dvrscheduler	19
229	READ_PHONE_STATE	TARGETED_ADS	air.couk.hamzagames.ultimatesmasher	19
230	READ_PHONE_STATE	TARGETED_ADS	amep.games.af_final	19
110	READ_PHONE_STATE	INTERNAL	com.animoca.prettyPetSalonSeasons	19
210	READ_PHONE_STATE	MOBILE_ANALYTICS	com.feelingtouch.dragon.ice	19
206	READ_PHONE_STATE	MOBILE_ANALYTICS	com.dooub.shake.sjshake	19
48	ACCESS_FINE_LOCATION	TARGETED_ADS	com.forrestheller.trippingfest.free	18
223	READ_PHONE_STATE	MOBILE_ANALYTICS	com.tgb.nationsatwar	18
334	READ_PHONE_STATE	TARGETED_ADS	com.westriversw.CatWar	18
250	READ_PHONE_STATE	TARGETED_ADS	com.com2us.minigameparadise.normal.freefull.google.global.android.common	18
213	READ_PHONE_STATE	MOBILE_ANALYTICS	com.menueph.entertainment.finger	18
37	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	jiangyou4.wallpaper.japan4	18
194	READ_PHONE_STATE	INTERNAL	jiangyou4.wallpaper.japan4	18
50	ACCESS_FINE_LOCATION	TARGETED_ADS	com.menueph.entertainment.russianroulette	18
225	READ_PHONE_STATE	MOBILE_ANALYTICS	com.xfinity.tv	18
107	READ_PHONE_STATE	INTERNAL	com.Conquer3.Kingdoms.game.good.haha	18
151	READ_PHONE_STATE	INTERNAL	com.jointhearmy	18
99	READ_CONTACTS	TARGETED_ADS	com.myxer.android	18
116	READ_PHONE_STATE	INTERNAL	com.bruellaffe	18
297	READ_PHONE_STATE	TARGETED_ADS	com.mobage.ww.a448.TouchHockey_android	18
121	READ_PHONE_STATE	INTERNAL	com.com2us.imo.normal.freefull.google.global.android.common	18
91	GET_ACCOUNTS	INTERNAL	com.nvidia.tegrazone	18
300	READ_PHONE_STATE	TARGETED_ADS	com.murtos.android.peopleofwalmart	18
128	READ_PHONE_STATE	INTERNAL	com.dooub.shake.sjshake	18
280	READ_PHONE_STATE	TARGETED_ADS	com.geogame.event	18
267	READ_PHONE_STATE	TARGETED_ADS	com.forrestheller.trippingfest.free	18
148	READ_PHONE_STATE	INTERNAL	com.guidasky.android	18
279	READ_PHONE_STATE	TARGETED_ADS	com.gamevil.cartoonwars.two.global	18
157	READ_PHONE_STATE	INTERNAL	com.morisoft.AndroidFreeGamENG.AOD	18
261	READ_PHONE_STATE	TARGETED_ADS	com.expedition107.bells.light	18
247	READ_PHONE_STATE	TARGETED_ADS	com.codingcaveman.SoloTrial	17
81	GET_ACCOUNTS	INTERNAL	com.Ama.PanicFlightFree	17
355	RECORD_AUDIO	INTERNAL	com.soundeffects.voicedoll	17
287	READ_PHONE_STATE	TARGETED_ADS	com.insasofttech.TattooCam	17
169	READ_PHONE_STATE	INTERNAL	com.sensacine.android	17
319	READ_PHONE_STATE	TARGETED_ADS	com.stuckpixelinc.funnypics	17
43	ACCESS_FINE_LOCATION	TARGETED_ADS	com.cracked.android.lite	17
127	READ_PHONE_STATE	INTERNAL	com.dooub.shake.bbshake	17
337	READ_PHONE_STATE	TARGETED_ADS	com.yobonja.blastmonkeysfree	17
236	READ_PHONE_STATE	TARGETED_ADS	com.alaskajim.whosingsit1990s	17
23	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	com.cracked.android.lite	17
234	READ_PHONE_STATE	TARGETED_ADS	com.Ama.PanicFlightFree	17
49	ACCESS_FINE_LOCATION	TARGETED_ADS	com.gjmatw.android.app	17
76	CAMERA	INTERNAL	com.socialnmobile.hd.flashlight	17
184	READ_PHONE_STATE	INTERNAL	com.webview.sazucafe	17
190	READ_PHONE_STATE	INTERNAL	eu.inmite.android.vodafone.vanoce	17
69	CAMERA	INTERNAL	com.androcheck.facedet	17
143	READ_PHONE_STATE	INTERNAL	com.gameinsight.myclinic	17
32	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	com.robotwheelie.android.facegoo	17
106	READ_PHONE_STATE	INTERNAL	com.Ama.PanicFlightFree	17
27	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	com.geogame.event	17
182	READ_PHONE_STATE	INTERNAL	com.uken.android.villains	16
202	READ_PHONE_STATE	MOBILE_ANALYTICS	com.Ama.PanicFlightFree	16
244	READ_PHONE_STATE	TARGETED_ADS	com.bigbluebubble.fatfree	16
320	READ_PHONE_STATE	TARGETED_ADS	com.tapular.grenadewhistle	16
248	READ_PHONE_STATE	TARGETED_ADS	com.com2us.imo.normal.freefull.google.global.android.common	16
