hitid	hittypeid	workerid	packageName	permission	purpose	comfortScore
2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	AKXNUZGMYOW6Q	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	-2
2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	AVII5WIKWUWTK	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	2
2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A18TXM6GMU1411	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	-1
2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A9QYAH5BONH1W	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	1
2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1CGUFW3R6M234	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	2
2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1U3KTAUMV7QKT	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	INTERNAL	-1
2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	APROFW08F7Z34	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	INTERNAL	-2
2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A32CMQGGTSUK6Z	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	INTERNAL	2
2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A2OCP3UDPBH0ME	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	INTERNAL	1
2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1MLC8HETIE13W	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	INTERNAL	-2
2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A4SKTCPDTV550	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	INTERNAL	1
2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A2YTOX7SEDJ1TC	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	INTERNAL	1
2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A2I2YRPU8ZFDFK	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	INTERNAL	2
2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A3AXXVQ7GY5JO3	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	INTERNAL	1
