workerid	packageName	permission	purpose	label	READ_PHONE_STATE	ACCESS_FINE_LOCATION	GET_ACCOUNTS	CAMERA	READ_CONTACTS	RECORD_AUDIO	SEND_SMS	ACCESS_COARSE_LOCATION	BLUETOOTH	MANAGE_ACCOUNTS	AUTHENTICATE_ACCOUNTS	userID	appID	permissionID
AJZ9HV5VBD7CA	com.dreamcortex.talkingPet_android	READ_PHONE_STATE	TARGETED_ADS	0	-0.818181818182	-1.0	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.35714285714	-0.55	-0.0950006560819
A32CMQGGTSUK6Z	net.tsunamisoft.fanmusic	READ_PHONE_STATE	TARGETED_ADS	1	1.0	1.0	1.0	1.0	1.0	1.0	-1.0	1.0	1.0	1.0	1.0	1.96153846154	-0.45	-0.0950006560819
AAXYYH9MI3PJM	net.tsunamisoft.fanmusic	READ_PHONE_STATE	TARGETED_ADS	0	-0.24347826087	-0.914893617021	0.777777777778	0.6	0.0	-1.0	1.0	-1.0	0.0	0.0	0.0	-0.418831168831	-0.45	-0.0950006560819
A1JRV4XD6CG12W	net.tsunamisoft.fanmusic	READ_PHONE_STATE	TARGETED_ADS	0	0.153846153846	0.0	0.818181818182	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74269005848	-0.45	-0.0950006560819
A2IYAOQ0BY5EYD	net.tsunamisoft.fanmusic	READ_PHONE_STATE	TARGETED_ADS	0	-0.544827586207	-0.931034482759	-1.0	-0.333333333333	0.0	0.0	0.0	1.0	0.0	0.0	0.0	-0.803191489362	-0.45	-0.0950006560819
A6IVYRP8FAIS	net.tsunamisoft.fanmusic	READ_PHONE_STATE	TARGETED_ADS	1	-0.0977443609023	-0.117647058824	1.0	1.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.114130434783	-0.45	-0.0950006560819
A2LJAWY0LUIMN1	net.tsunamisoft.fanmusic	READ_PHONE_STATE	TARGETED_ADS	1	0.232323232323	-0.2	0.166666666667	1.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.111111111111	-0.45	-0.0950006560819
A3JJXEVEPU8V9J	net.tsunamisoft.fanmusic	READ_PHONE_STATE	TARGETED_ADS	0	-0.231707317073	-0.828571428571	0.846153846154	-0.6	-1.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.283105022831	-0.45	-0.0950006560819
AL49DDQNUF01M	net.tsunamisoft.fanmusic	READ_PHONE_STATE	TARGETED_ADS	1	-0.741935483871	-0.6	0.111111111111	-0.428571428571	0.0	1.0	0.0	1.0	0.0	0.0	0.0	-1.20786516854	-0.45	-0.0950006560819
A56E6Z0KH4WGZ	net.tsunamisoft.fanmusic	READ_PHONE_STATE	TARGETED_ADS	0	-0.0588235294118	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0909090909091	-0.45	-0.0950006560819
AZF0WGPL5SL76	net.tsunamisoft.fanmusic	READ_PHONE_STATE	TARGETED_ADS	0	-0.684210526316	-0.333333333333	1.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.14814814815	-0.45	-0.0950006560819
A3AJR1PM02424Y	net.tsunamisoft.fanmusic	READ_PHONE_STATE	TARGETED_ADS	1	0.823529411765	0.833333333333	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19230769231	-0.45	-0.0950006560819
AAQ4Q3ULMAF5H	net.tsunamisoft.fanmusic	READ_PHONE_STATE	TARGETED_ADS	0	-0.0666666666667	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.285714285714	-0.45	-0.0950006560819
A1MO07YOP3THQ2	net.tsunamisoft.fanmusic	READ_PHONE_STATE	TARGETED_ADS	1	0.0967741935484	0.166666666667	1.0	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	0.0	0.163265306122	-0.45	-0.0950006560819
A19887HPPXDM09	net.tsunamisoft.fanmusic	READ_PHONE_STATE	TARGETED_ADS	0	0.0	0.2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.166666666667	-0.45	-0.0950006560819
A1MHGD46DB5Z7H	net.tsunamisoft.fanmusic	READ_PHONE_STATE	TARGETED_ADS	0	-0.567567567568	0.111111111111	0.333333333333	0.0	-1.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.529411764706	-0.45	-0.0950006560819
A4SKTCPDTV550	net.tsunamisoft.fanmusic	READ_PHONE_STATE	TARGETED_ADS	1	0.626865671642	0.724137931034	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.775280898876	-0.45	-0.0950006560819
AOPZSU77ONJXS	net.tsunamisoft.fanmusic	READ_PHONE_STATE	TARGETED_ADS	1	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.45	-0.0950006560819
A335YICZ3FDA9J	net.tsunamisoft.fanmusic	READ_PHONE_STATE	TARGETED_ADS	0	0.0697674418605	-0.8	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0344827586207	-0.45	-0.0950006560819
A1CGUFW3R6M234	net.tsunamisoft.fanmusic	READ_PHONE_STATE	TARGETED_ADS	1	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.98165137615	-0.45	-0.0950006560819
