,hitid,hittypeid,workerid,packageName,permission,purpose,comfortScore,1,2,3,4,5
39,2YXL42J1LY58RNZMI49GMKHDIGU4PZ,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1U43ACI9M84MZ,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,1,0.29547445887066304,0.3936831142703331,0.3936831142703331,-0.4502923976600001,-1.0
40,2YXL42J1LY58RNZMI49GMKHDIGU4PZ,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A771BLWJLMWYY,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-1,0.24501735451864098,0.135529211684,0.135529211684,-0.7040816326530003,-0.7040816326530003
41,2YXL42J1LY58RNZMI49GMKHDIGU4PZ,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A32CMQGGTSUK6Z,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,2,0.22031165345697626,-0.769230769231,-0.769230769231,-1.0,-1.0
42,2YXL42J1LY58RNZMI49GMKHDIGU4PZ,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A4SKTCPDTV550,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,1,0.24501735451864098,0.135529211684,0.135529211684,-0.7040816326530003,-0.7040816326530003
43,2YXL42J1LY58RNZMI49GMKHDIGU4PZ,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1JRV4XD6CG12W,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-1,0.28804993353028135,0.3936831142703331,0.125,-1.0,-1.0
44,2YXL42J1LY58RNZMI49GMKHDIGU4PZ,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A3C7SA7ADVLG3W,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,1,0.22031165345697626,-0.769230769231,-0.769230769231,-1.0,-1.0
45,2YXL42J1LY58RNZMI49GMKHDIGU4PZ,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A3I5PTITGTFEBW,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,2,0.22031165345697626,-0.769230769231,-0.769230769231,-1.0,-1.0
46,2YXL42J1LY58RNZMI49GMKHDIGU4PZ,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1KF05U5IO9AFG,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-1,0.34937651227083033,0.17281335611099993,0.17281335611099993,-0.4897959183669998,-1.0
47,2YXL42J1LY58RNZMI49GMKHDIGU4PZ,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,AAXYYH9MI3PJM,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-1,0.22031165345697626,-0.769230769231,-0.769230769231,-1.0,-1.0
48,2YXL42J1LY58RNZMI49GMKHDIGU4PZ,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A2LJAWY0LUIMN1,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,1,0.34937651227083033,0.17281335611099993,0.17281335611099993,-0.4897959183669998,-1.0
49,2YXL42J1LY58RNZMI49GMKHDIGU4PZ,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A5IG6AWG6W638,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-2,0.29547445887066304,0.3936831142703331,0.3936831142703331,-0.4502923976600001,-1.0
50,2YXL42J1LY58RNZMI49GMKHDIGU4PZ,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1MO07YOP3THQ2,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-2,0.24501735451864098,0.135529211684,0.135529211684,-0.7040816326530003,-0.7040816326530003
51,2YXL42J1LY58RNZMI49GMKHDIGU4PZ,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1VS2PFZRWWPO3,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,1,0.28804993353028135,0.3936831142703331,0.125,-1.0,-1.0
52,2YXL42J1LY58RNZMI49GMKHDIGU4PZ,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A3FM158JCS0W7K,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,1,0.28804993353028135,0.3936831142703331,0.125,-1.0,-1.0
