name,purpose,website
schemasMicrosoftComOfficeExcel,UTILITY,http://mvnrepository.com/artifact/org.apache.poi/ooxml-schemas/1.0
schemasMicrosoftComOfficeOffice,UTILITY,http://mvnrepository.com/artifact/org.apache.poi/ooxml-schemas/1.0
schemasMicrosoftComVml,UTILITY,http://mvnrepository.com/artifact/org.apache.poi/ooxml-schemas/1.0
simpleframework,UTILITY,http://www.simpleframework.org/
skyhookwireless,UTILITY,http://www.skyhookwireless.com/
slf4j,UTILITY,http://www.slf4j.org/
sonicnotify,TARGETED_ADS,http://sonicnotify.com/
spongycastle,UTILITY,http://www.bouncycastle.org/java.html
springframework,UTILITY,http://www.springsource.org/spring-android
sqlLite,UTILITY,http://www.sqlite.org/
stericson,UTILITY,http://stericsson.com/home/home.jsp
tabtale,UTILITY,http://tab-tale.com/
tecnick,UTILITY,http://www.tecnick.com/public/code/cp_dpage.php?aiocp_dp=_main
thehttpclient,UTILITY,N/A
TouchMode,UTILITY,N/A
unity3d,GAME_ENGINE,N/A
utilities,UTILITY,N/A
w3c,UTILITY,http://www.w3.org/
xml,UTILITY,http://developer.android.com/training/basics/network-ops/xml.html
xmlpull,UTILITY,http://www.xmlpull.org/
xmlrpc,UTILITY,http://code.google.com/p/android-xmlrpc/
yaml,UTILITY,http://www.yaml.org/
yuku,UTILITY,http://code.google.com/p/yuku-android-util/
urbanairship,PAYMENT,http://urbanairship.com/
bugsense,UTILITY,http://www.bugsense.com/
jaxen,UTILITY,http://jaxen.codehaus.org/
acet,UTILITY,https://github.com/acet/DataDroid
alexsem,NOT EXTERNAL,http://www.alexsem.org/
amazon,UTILITY,http://aws.amazon.com/sdkforandroid/
apache,UTILITY,http://www.apache.org/
artifex,NOT EXTERNAL,N/A
Base,NOT EXTERNAL,N/A
bea,NOT EXTERNAL,N/A
casee,TARGETED_ADS,N/A
cauly,TARGETED_ADS,http://www.cauly.co.kr/index.php/w/home
college,NOT EXTERNAL,N/A
commend,NOT EXTERNAL,N/A
controllers,NOT EXTERNAL,N/A
donson,TARGETED_ADS,N/A
drew,NOT EXTERNAL,N/A
energysource,TARGETED_ADS,http://www.adtouchnetwork.com/
Factories,NOT EXTERNAL,N/A
gfan,SECONDARY_MARKET,http://www.gfan.com/
great,NOT EXTERNAL,N/A
jasonkostempski,NOT EXTERNAL,N/A
joelapenna,SNS,https://developer.foursquare.com/
kuguo,TARGETED_ADS,http://www.kuguopush.com/
LBSAPIProtocol,TARGETED_ADS,http://devbbs.app.qq.com/wiki/index.php?title=MobWIN_Android_Spot_SDK_doc
livestream,CONTENT_PROVIDER,http://new.livestream.com/
Lnet,NOT EXTERNAL,N/A
madhouse,TARGETED_ADS,http://www.madhouse.cn/en/
